ID,Brand,Model,Year,Power,Price,Region,Today
3864169158,Chery,Tiggo 9 2.0 AT,2023,261,4280000,Республика Башкортостан,2024-03-30
3708257095,Chery,Tiggo 9 2.0 AT,2023,261,4500000,Москва,2024-03-30
3870359703,Chery,Tiggo 9 2.0 AT,2024,261,4479000,Чеченская Республика,2024-03-30
3639109554,Chery,Tiggo 9 2.0 AMT,2023,249,3655000,Москва,2024-03-30
3765707720,Chery,Tiggo 9 2.0 AMT,2023,249,4010000,Воронежская обл.,2024-03-30
3628643526,Chery,Tiggo 9 2.0 AMT,2023,261,4499000,Краснодарский край,2024-03-30
3806447528,Chery,Tiggo 9 2.0 AT,2023,261,4200000,Республика Ингушетия,2024-03-30
3512925594,Chery,Tiggo 9 2.0 AMT,2023,261,4550000,Республика Марий Эл,2024-03-30
3940145266,Chery,Tiggo 9 2.0 AT,2023,249,4750000,Москва,2024-03-30
3799498722,Chery,Tiggo 9 2.0 AT,2023,249,4599000,Республика Башкортостан,2024-03-30
3793045134,Chery,Tiggo 9 2.0 AMT,2023,249,3900000,Москва,2024-03-30
3701542956,Chery,Tiggo 9 2.0 AMT,2023,249,4929000,Тюменская обл.,2024-03-30
3644474704,Chery,Tiggo 9 2.0 AMT,2023,261,4150000,Санкт-Петербург,2024-03-30
3733832764,Chery,Tiggo 9 2.0 AT,2023,261,3400000,Новосибирская обл.,2024-03-30
3780826486,Chery,Tiggo 9 2.0 AMT,2023,261,4280000,Республика Башкортостан,2024-03-30
3617213650,Chery,Tiggo 9 2.0 AMT,2023,261,4800000,Рязанская обл.,2024-03-30
3883747758,Chery,Tiggo 9 2.0 AMT,2023,261,4899000,Красноярский край,2024-03-30
3647922971,Chery,Tiggo 9 2.0 AMT,2023,261,4290000,Республика Башкортостан,2024-03-30
3792793359,Chery,Tiggo 9 2.0 AMT,2023,249,3900000,Воронежская обл.,2024-03-30
3854245706,Chery,Tiggo 9 2.0 AMT,2023,261,3350000,Приморский край,2024-03-30
3589316299,Chery,Tiggo 9 2.0 AMT,2023,261,4800000,Омская обл.,2024-03-30
3907910889,Chery,Tiggo 9 2.0 AT,2023,261,3200000,Приморский край,2024-03-30
3873979657,Chery,Tiggo 9 2.0 AMT,2023,261,3660000,Приморский край,2024-03-30
3940363836,Chery,Tiggo 9 2.0 AT,2023,249,4750000,Москва,2024-03-30
3773382664,Chery,Tiggo 9 2.0 AT,2023,249,4750000,Новосибирская обл.,2024-03-30
3360635895,Chery,Tiggo 9 2.0 AMT,2023,261,4290000,Республика Башкортостан,2024-03-30
3580424838,Chery,Tiggo 9 2.0 AMT,2023,261,4899000,Красноярский край,2024-03-30
3890162862,Chery,Tiggo 9 2.0 AMT,2023,261,4950000,Кемеровская обл.,2024-03-30
3772881962,Chery,Tiggo 9 2.0 AT,2023,249,4600000,Новосибирская обл.,2024-03-30
3568661812,Chery,Tiggo 9 2.0 AT,2023,249,4550000,Москва,2024-03-30
3815357205,Chery,Tiggo 9 2.0 AT,2023,249,4650000,Москва,2024-03-30
3793405128,Chery,Tiggo 9 2.0 AMT,2023,249,3800000,Белгородская обл.,2024-03-30
3315090121,Chery,Tiggo 9 2.0 AMT,2023,261,2090400,Кемеровская обл.,2024-03-30
3756090766,Chery,Tiggo 9 2.0 AMT,2023,261,4700000,Красноярский край,2024-03-30
3883852148,Chery,Tiggo 9 2.0 AT,2023,261,4839000,Красноярский край,2024-03-30
3601523492,Chery,Tiggo 9 2.0 AMT,2023,261,2930000,Алтайский край,2024-03-30
3764048867,Chery,Tiggo 8 Pro Plug-in Hybrid 1.5 AT,2023,235,3749000,Ставропольский край,2024-03-30
3644254622,Chery,Tiggo 8 Pro Plug-in Hybrid 1.5 AT,2023,235,3749000,Оренбургская обл.,2024-03-30
3771721974,Chery,Tiggo 8 Pro Plug-in Hybrid 1.5 AT,2023,235,3740000,Свердловская обл.,2024-03-30
4033738623,Chery,Tiggo 8 Pro Plug-in Hybrid 1.5 AT,2023,235,4050000,Москва,2024-03-30
3636143445,Chery,Tiggo 8 Pro Plug-in Hybrid 1.5 AT,2023,235,3799000,Краснодарский край,2024-03-30
3729015557,Chery,Tiggo 8 Pro Plug-in Hybrid 1.5 AT,2023,235,4850000,Уфа,2024-03-30
3953645920,Chery,Tiggo 8 Pro Plug-in Hybrid 1.5 AT,2023,235,3699000,Пермский край,2024-03-30
3771827264,Chery,Tiggo 8 Pro Plug-in Hybrid 1.5 AT,2023,235,3748900,Свердловская обл.,2024-03-30
3764048867,Chery,Tiggo 8 Pro Plug-in Hybrid 1.5 AT,2023,235,3749000,Ставропольский край,2024-03-30
3636143445,Chery,Tiggo 8 Pro Plug-in Hybrid 1.5 AT,2023,235,3799000,Краснодарский край,2024-03-30
3953645920,Chery,Tiggo 8 Pro Plug-in Hybrid 1.5 AT,2023,235,3699000,Пермский край,2024-03-30
3960466518,Chery,Tiggo 8 Pro Plug-in Hybrid 1.5 AT,2023,235,3361500,Санкт-Петербург,2024-03-30
